City,CO,PM10,SO2,PM2.5,O3,NO2
Fayetteville,196.93,6.73,0.35,3.76,83.69,2.57
New Braunfels,200.27,2.7,0.49,2.21,72.96,3.43
Salt Lake City,216.96,10.59,2.35,3.93,89.41,16.28
Columbia,188.59,1.81,1.52,1.23,66.52,3.26
Lincoln,206.95,2.65,0.21,2.54,76.53,1.5
Bayonne,156.88,7.78,0.75,3.3,103.0,0.42
Homestead,226.97,1.94,0.51,0.72,36.84,3.21
Jackson,240.33,7.67,0.57,3.71,68.67,7.28
Waukegan,260.35,21.05,2.35,19.43,137.33,10.8
Topeka,216.96,1.59,0.34,1.45,67.23,1.74
Norfolk,185.25,11.64,1.94,3.52,77.96,6.17
Boston,390.53,10.19,4.95,8.0,30.04,41.13
Johns Creek,198.6,10.16,0.5,4.28,92.98,3.68
Lynn,250.34,5.4,1.15,4.52,43.63,12.0
San Antonio,216.96,3.78,1.37,3.4,77.25,6.26
Simi Valley,223.64,16.23,1.73,10.9,145.91,2.87
Winston-Salem,226.97,10.47,0.47,5.2,94.41,4.97
Dallas,260.35,3.92,1.36,2.83,76.53,12.0
Laredo,186.92,3.43,0.23,1.64,52.21,0.98
Cary,647.54,49.56,0.86,43.4,223.16,12.68
Parma,300.41,23.98,0.4,18.13,38.62,4.28
Lauderhill,250.34,4.73,2.09,2.44,38.98,12.17
Pine Hills,260.35,3.65,3.04,3.0,40.77,15.25
Carmel,240.33,18.76,2.74,14.28,130.18,8.4
Bakersfield,220.3,11.46,0.65,9.71,141.62,3.3
Saint Cloud,183.58,7.54,1.31,6.42,57.94,5.91
West Palm Beach,230.31,2.71,0.77,1.34,55.08,3.43
Paterson,337.12,29.85,4.95,23.72,125.89,16.79
Clovis,287.06,20.93,0.52,16.78,157.36,1.48
Seattle,267.03,11.68,3.82,9.07,83.69,19.02
Missoula,150.2,2.38,0.03,1.41,90.12,1.48
West Covina,367.17,67.35,17.64,55.69,303.27,22.28
El Paso,230.31,2.5,1.12,0.65,56.51,3.09
Hawthorne,257.02,15.72,3.99,8.91,97.28,16.62
Lorain,290.39,18.48,2.33,17.89,143.05,4.97
Cicero,393.87,23.0,3.99,19.74,95.84,39.76
Concord,216.96,2.86,0.83,2.72,42.2,5.91
Norwalk,353.81,34.17,2.89,32.16,103.0,9.94
Atascocita,200.27,2.72,1.18,1.95,57.22,6.77
San Bernardino,290.39,41.64,9.54,34.56,280.38,11.82
Worcester,280.38,7.23,0.93,6.51,50.78,12.68
Cedar Park,188.59,1.91,0.35,1.47,66.52,1.78
Pembroke Pines,250.34,4.73,2.09,2.44,38.98,12.17
Amarillo,176.91,0.89,0.03,0.56,59.37,0.7
Chesapeake,171.9,10.78,0.72,3.21,73.67,2.64
Corona,280.38,38.99,12.4,29.5,283.24,12.68
Broken Arrow,226.97,4.09,0.85,2.9,85.12,5.66
Long Beach,211.95,16.7,7.75,9.4,100.14,9.77
Coral Springs,240.33,4.47,1.65,2.41,47.92,8.31
Mayagüez,150.2,0.88,0.2,0.56,27.18,0.34
Chandler,220.3,8.15,0.53,2.77,60.08,2.96
Sunrise Manor,283.72,12.57,1.89,6.09,121.59,22.28
Anchorage,160.22,0.68,0.04,0.5,80.11,0.22
Santa Rosa,277.04,19.24,0.67,15.9,108.72,4.37
Fairfield,781.06,64.64,1.46,61.44,161.65,2.91
Centennial,236.99,7.67,2.47,4.36,82.97,10.37
Elk Grove,534.06,44.32,4.53,40.04,228.88,8.31
Pompano Beach,236.99,3.83,1.31,1.72,53.64,5.14
Kansas City,250.34,3.51,1.94,2.87,79.39,9.25
Philadelphia,220.3,15.31,7.27,6.22,88.69,15.77
Sioux City,211.95,2.94,0.14,2.82,67.23,1.39
Reading,156.88,1.02,0.28,0.87,74.39,1.93
Palo Alto,226.97,16.98,1.88,11.05,87.26,10.54
Mission Viejo,216.96,17.87,2.65,9.45,107.29,6.68
Reno,151.87,12.54,0.27,4.39,120.16,2.29
Goodyear,195.27,14.71,0.15,4.96,88.69,1.54
Hillsboro,161.89,4.34,0.22,3.19,97.28,1.01
Greensboro,211.95,11.04,0.74,5.08,90.84,5.23
Thousand Oaks,226.97,15.16,2.33,9.27,123.02,6.34
Las Cruces,198.6,3.1,0.12,0.65,61.51,0.8
El Monte,370.5,50.74,13.71,39.53,228.88,36.33
Minneapolis,460.63,7.39,2.59,6.64,5.14,39.76
Albuquerque,216.96,2.76,0.03,0.5,26.82,1.65
Sugar Land,236.99,3.97,2.03,2.63,67.23,8.82
Yuma,188.59,13.54,0.45,5.39,120.16,1.04
Camden,220.3,15.31,7.27,6.22,88.69,15.77
Guaynabo,151.87,1.67,0.36,0.55,34.33,0.34
Weston,168.56,2.52,0.54,1.66,77.25,1.14
Nashville,547.41,17.71,2.33,12.77,61.51,58.95
Farmington Hills,350.48,18.24,2.09,16.91,91.55,12.34
Pueblo,213.62,2.43,0.29,0.91,45.42,0.78
Austin,201.94,2.54,0.63,1.99,69.38,5.27
Santa Clarita,236.99,19.58,2.59,14.2,170.23,6.43
Pawtucket,297.07,8.15,0.76,6.33,40.77,15.25
Chicago,393.87,23.0,3.99,19.74,95.84,39.76
Lancaster,243.66,21.07,3.49,13.23,138.76,7.37
Chico,188.59,12.57,0.3,6.75,137.33,1.02
Walnut Creek,240.33,17.25,6.14,12.26,98.71,14.4
Gary,260.35,21.46,1.61,18.92,153.07,5.83
Federal Way,250.34,10.77,4.53,9.38,130.18,13.54
Fort Myers,223.64,3.97,0.3,2.38,57.94,5.74
Caguas,151.87,1.67,0.36,0.55,34.33,0.34
Eugene,161.89,6.91,0.47,4.46,95.84,0.87
Mount Vernon,213.62,12.57,0.52,8.05,90.84,2.96
Bloomington,201.94,13.14,1.28,9.4,65.09,3.77
Loveland,206.95,5.21,0.21,2.7,62.94,3.13
Brooklyn Park,390.53,6.62,3.28,6.13,26.82,32.22
Roanoke,226.97,10.59,1.04,6.3,75.82,4.41
Kent,161.89,11.52,0.88,9.08,83.69,3.38
Highlands Ranch,236.99,7.67,2.47,4.36,82.97,10.37
Miami Gardens,250.34,3.81,2.03,1.85,35.41,11.65
Lakewood,236.99,6.97,1.31,3.37,70.1,10.97
Jacksonville,236.99,2.34,2.59,1.88,35.76,6.68
Downey,360.49,23.16,10.97,14.18,113.01,38.73
Irving,260.35,5.85,1.83,4.68,108.72,14.4
Manchester,155.21,1.36,3.93,1.14,57.94,7.11
Waukesha,253.68,13.42,2.65,12.39,92.98,8.4
Las Vegas,283.72,12.57,1.89,6.09,121.59,22.28
Los Angeles,267.03,26.52,7.39,18.57,178.81,16.11
Vista,173.57,14.83,0.77,7.63,87.26,2.27
Boynton Beach,233.65,3.13,0.95,1.55,55.79,4.2
Silver Spring,410.56,16.57,3.64,9.4,58.65,39.76
San Leandro,257.02,17.17,4.53,11.43,83.69,18.68
Harlingen,186.92,6.54,0.13,2.15,43.99,0.93
Tyler,213.62,5.92,3.73,4.54,87.98,4.58
Perris,220.3,22.15,4.47,14.49,200.27,4.84
Lake Charles,206.95,4.67,2.65,3.62,60.8,6.77
Corpus Christi,188.59,6.96,1.74,2.55,50.07,4.03
Arlington,240.33,4.96,2.0,3.98,103.0,8.05
Chino Hills,287.06,34.62,14.31,25.1,234.6,18.17
San Buenaventura,186.92,12.67,1.1,7.57,97.28,2.96
Carolina,153.54,1.66,0.2,0.57,37.19,0.26
Bellflower,360.49,23.16,10.97,14.18,113.01,38.73
Duluth,171.9,4.39,0.69,4.01,68.67,3.68
Ponce,128.51,0.66,0.11,0.5,13.59,0.25
