City,CO,PM10,SO2,PM2.5,O3,NO2
Southfield,350.48,18.24,2.09,16.91,91.55,12.34
Portland,166.89,5.14,0.46,3.76,98.71,1.63
Denver,226.97,6.16,2.77,3.04,79.39,11.82
Provo,186.92,8.28,0.63,2.95,88.69,4.58
Birmingham,163.56,0.94,1.39,0.75,67.23,3.77
Greeley,213.62,4.58,1.37,3.29,75.82,3.26
Spring Valley,247.0,4.12,3.16,2.65,55.79,12.51
Tustin,240.33,20.96,12.16,12.22,133.04,17.82
Springfield,205.28,8.49,1.09,5.94,91.55,3.77
Fort Wayne,211.95,12.08,0.77,9.29,113.01,2.74
Santa Ana,240.33,20.96,12.16,12.22,133.04,17.82
Dayton,300.41,15.23,1.33,12.99,97.28,15.42
Redondo Beach,257.02,15.72,3.99,8.91,97.28,16.62
Shawnee,226.97,3.46,0.41,2.78,80.11,4.46
Bethlehem,267.03,29.64,6.56,14.67,33.62,44.55
Pasadena,370.5,50.74,13.71,39.53,228.88,36.33
Muncie,208.62,12.86,0.89,9.5,104.43,5.01
Sparks,156.88,13.33,0.43,4.37,135.9,1.91
Compton,257.02,15.72,3.99,8.91,97.28,16.62
Jurupa Valley,280.38,38.99,12.4,29.5,283.24,12.68
Buena Park,327.11,30.58,15.74,20.1,171.66,32.56
Tampa,347.14,9.03,2.15,7.35,92.98,24.33
Midland,183.58,0.78,0.02,0.5,52.93,0.77
Rialto,290.39,41.64,9.54,34.56,280.38,11.82
Pomona,343.8,69.22,15.14,59.48,334.74,10.97
Arlington,240.33,4.96,2.0,3.98,103.0,8.05
Portland,166.89,5.14,0.46,3.76,98.71,1.63
Kenosha,243.66,17.42,1.94,16.24,123.02,6.68
Racine,220.3,12.57,1.36,11.99,118.73,4.07
Garden Grove,240.33,20.96,12.16,12.22,133.04,17.82
Longview,220.3,5.17,1.43,3.33,85.12,3.34
Detroit,447.27,23.66,5.54,21.45,89.41,38.04
Mountain View,196.93,13.24,1.37,8.76,85.12,4.63
Omaha,230.31,3.08,0.9,2.84,72.24,3.9
Athens-Clarke County unified government,186.92,12.77,0.23,4.18,64.37,3.13
Scranton,223.64,7.89,0.35,6.83,71.53,3.04
Union City,226.97,16.98,1.88,11.05,87.26,10.54
New Britain,193.6,12.72,12.64,12.67,14.48,0.01
El Cajon,220.3,17.87,4.23,9.44,100.14,9.85
Kenner,193.6,8.48,2.65,4.02,85.12,6.77
Allen,250.34,5.4,0.81,4.28,92.98,10.45
Saint Louis,233.65,7.96,1.46,4.7,94.41,7.37
Pleasanton,280.38,21.26,4.65,15.88,117.3,11.65
Gulfport,178.58,6.86,0.39,2.43,85.12,2.14
Wilmington,240.33,14.41,2.92,6.9,97.28,11.14
Kirkland,213.62,8.63,3.01,7.39,100.14,9.85
Escondido,205.28,15.18,1.42,7.96,88.69,6.34
Macon,180.24,8.56,1.49,3.08,70.81,2.29
Edinburg,158.55,0.87,1.03,0.77,62.23,3.09
Fishers,240.33,18.76,2.74,14.28,130.18,8.4
Brandon,163.56,1.39,0.05,1.21,55.08,0.95
Marysville,198.6,10.83,2.44,9.6,110.15,5.27
Schenectady,226.97,5.31,0.03,4.96,22.89,3.0
Columbus,253.68,11.37,0.52,9.84,90.12,8.91
Erie,387.19,35.0,4.77,34.44,163.08,10.2
Kendall,250.34,2.88,1.73,1.28,32.54,8.48
Albany,287.06,6.07,0.41,5.51,52.21,8.05
Saint Charles,213.62,7.4,1.13,4.36,85.12,4.24
Hartford,353.81,15.98,1.21,14.98,43.27,13.2
Waldorf,183.58,14.43,1.61,12.03,52.21,6.51
Apple Valley,317.1,6.39,1.4,5.64,30.76,14.74
Danbury,297.07,9.68,0.95,8.57,35.05,12.68
Jersey City,433.92,26.76,12.04,13.78,39.7,73.34
Metairie,220.3,8.82,2.53,4.23,85.12,10.45
Rio Rancho,216.96,2.64,0.03,0.5,25.75,1.63
Cleveland,317.1,24.39,1.76,23.77,140.19,13.02
Thornton,216.96,7.04,0.48,3.18,74.39,7.45
Columbia,188.59,1.81,1.52,1.23,66.52,3.26
Enterprise,190.26,6.75,0.14,1.99,73.67,2.31
Houston,240.33,4.25,5.48,2.66,45.42,15.25
Oceanside,175.24,15.39,0.79,8.16,80.82,2.25
Berkeley,216.96,13.68,2.65,9.21,86.55,10.71
Orange,183.58,1.5,0.23,1.19,47.21,2.4
Alexandria,171.9,25.37,1.7,14.18,88.69,1.93
German,165.22,25.96,0.32,13.22,43.63,1.27
Pittsburg,267.03,18.06,2.56,15.72,90.12,9.25
Melbourne,283.72,5.08,6.74,2.54,28.97,14.91
New Bedford,287.06,7.88,0.51,6.92,47.21,7.45
Sioux Falls,223.64,2.8,0.24,2.66,55.79,3.9
Carlsbad,175.24,15.39,0.79,8.16,80.82,2.25
Huntsville,337.12,11.64,0.59,6.48,72.24,17.48
Turlock,453.95,38.56,4.23,34.48,228.88,5.18
Gainesville,226.97,1.8,0.74,1.52,20.03,5.44
Champaign,220.3,14.62,1.73,9.99,95.84,4.71
Inglewood,257.02,15.72,3.99,8.91,97.28,16.62
Saint Joseph,163.56,0.72,0.63,0.56,79.39,2.08
Brockton,320.44,8.6,2.53,6.52,38.27,22.96
Tulsa,233.65,3.72,1.61,2.74,83.69,7.97
North Las Vegas,175.24,12.72,0.72,5.82,141.62,2.74
Westminster,160.22,1.3,2.86,1.14,74.39,5.57
Lakewood,236.99,6.97,1.31,3.37,70.1,10.97
San Jose,240.33,14.99,3.04,9.99,103.0,13.71
Irvine,240.33,20.96,12.16,12.22,133.04,17.82
Columbus,253.68,11.37,0.52,9.84,90.12,8.91
Clearwater,188.59,6.25,0.47,4.6,92.98,0.88
Syracuse,257.02,91.6,230.79,37.86,60.8,11.65
Palm Bay,213.62,3.62,0.31,1.67,53.64,1.5
Vacaville,487.33,39.56,2.0,35.57,153.07,3.9
Broomfield,233.65,7.16,0.73,3.63,70.1,9.43
Pittsburgh,267.03,18.06,2.56,15.72,90.12,9.25
Memphis,283.72,22.56,3.07,17.76,137.33,12.51
Appleton,188.59,4.78,1.73,4.47,58.65,5.57
Green Bay,171.9,2.65,1.55,2.59,52.93,3.86
Upland,343.8,69.22,15.14,59.48,334.74,10.97
Virginia Beach,166.89,13.32,0.51,3.46,95.84,1.14
Springdale,196.93,6.73,0.35,3.76,83.69,2.57
Saint Paul,423.91,6.98,3.55,6.34,5.9,41.81
Huntington Beach,240.33,20.96,12.16,12.22,133.04,17.82
Brentwood,373.84,29.87,4.77,25.38,160.22,8.14
Rochester,360.49,9.57,0.72,8.73,43.99,23.31
New Rochelle,330.45,39.25,4.83,30.43,151.63,14.91
Beaumont,206.95,3.42,3.37,2.55,54.36,7.54
Richmond,240.33,9.32,0.52,4.1,60.08,9.77
Santa Monica,233.65,17.34,2.77,11.83,153.07,8.4
Bloomington,201.94,13.14,1.28,9.4,65.09,3.77
Durham,387.19,28.89,1.21,22.83,205.99,7.37
Indio,176.91,4.55,0.19,2.43,113.01,0.96
Rock Hill,191.93,8.11,0.37,3.01,68.67,3.9
Newark,433.92,26.76,12.04,13.78,39.7,73.34
Ames,156.88,8.72,1.24,4.68,87.26,1.56
New Orleans,220.3,8.82,2.53,4.23,85.12,10.45
Warwick,158.55,0.88,0.54,0.72,70.81,2.96
Spring Hill,220.3,4.05,0.41,3.68,80.82,2.57
Tallahassee,180.24,1.54,0.15,1.14,58.65,1.09
Lynchburg,230.31,11.28,0.61,7.1,64.37,4.71
Westminster,160.22,1.3,2.86,1.14,74.39,5.57
Paradise,283.72,12.57,1.89,6.09,121.59,22.28
Lynwood,257.02,15.72,3.99,8.91,97.28,16.62
Camarillo,201.94,12.32,0.98,7.7,105.86,3.6
Lake Forest,260.35,21.05,2.35,19.43,137.33,10.8
